City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,kununurra,-15.7667,128.7333,33.99,59,63,3.09,AU,1702530106
272,yuktae-dong,40.0247,128.1597,1.92,92,100,4.79,KP,1702530106
273,kharkhorin,47.1975,102.8238,-22.98,90,100,1.82,MN,1702530107
274,bellefontaine,40.3612,-83.7597,0.71,55,20,1.54,US,1702530107
275,pionerskiy,54.9508,20.2275,-0.48,89,92,4.5,RU,1702530108
276,shahpura,27.3833,75.9667,20.44,32,16,1.9,IN,1702529857
277,ternate,0.8,127.4,30.0,69,47,2.43,ID,1702530109
278,boyolangu,-8.1181,111.8935,29.57,67,57,4.41,ID,1702530109
279,jayapura,-2.5333,140.7,32.66,76,97,3.97,ID,1702530109
280,satu mare,47.8,22.8833,6.47,93,100,4.12,RO,1702530110
281,nova vicosa,-17.8919,-39.3719,23.61,80,23,3.35,BR,1702530110
282,berriane,32.8265,3.7669,13.45,62,37,8.23,DZ,1702530111
283,wladyslawowo,54.7909,18.4009,2.74,70,99,5.27,PL,1702529950
284,swift current,50.2834,-107.8014,3.45,48,0,9.77,CA,1702530112
285,ilulissat,69.2167,-51.1,-7.99,62,100,5.66,GL,1702530113
286,sao gabriel da cachoeira,-0.1303,-67.0892,23.62,98,98,0.43,BR,1702530113
287,coahuayana de hidalgo,18.7,-103.6583,25.01,56,100,1.63,MX,1702530114
288,nandurbar,21.3667,74.25,25.28,45,74,4.89,IN,1702530114
289,callao,-12.0667,-77.15,21.51,83,75,6.17,PE,1702530001
290,conception bay south,47.4999,-52.9981,3.58,90,100,8.45,CA,1702530010
291,witbank,-25.8713,29.2332,16.72,70,46,4.22,ZA,1702530100
292,atamyrat,37.8357,65.2106,8.57,47,94,2.45,TM,1702530115
293,vernon,50.2581,-119.2691,3.34,78,100,4.63,CA,1702530044
294,miles city,46.4083,-105.8406,1.17,65,3,3.6,US,1702530116
295,portland,45.5234,-122.6762,9.93,72,100,6.69,US,1702529507
296,zaraysk,54.7653,38.8836,-10.23,94,100,5.19,RU,1702530116
297,ifrane,33.3333,-5.25,4.33,88,100,2.31,MA,1702530117
298,hudiksvall,61.729,17.1036,-14.36,96,45,1.9,SE,1702530118
299,nkoteng,4.5167,12.0333,18.06,60,81,0.72,CM,1702530118
300,fort bragg,35.139,-79.006,8.23,65,0,1.54,US,1702530118
301,mejit,10.2753,170.8646,27.39,84,100,10.83,MH,1702530119
302,kuala terengganu,5.3302,103.1408,26.97,94,40,3.6,MY,1702530119
303,karbala,32.616,44.0249,14.79,69,6,5.86,IQ,1702530119
304,cromwell,41.5951,-72.6454,1.29,60,0,6.17,US,1702530113
305,sorong,-0.8833,131.25,29.4,69,48,4.27,ID,1702530119
306,cachoeira,-12.6183,-38.9558,20.28,92,8,1.16,BR,1702530120
307,okha,53.5739,142.9478,-17.8,92,100,12.78,RU,1702529846
308,belsand,26.45,85.4,21.3,35,0,1.46,IN,1702530120
309,mount pleasant,32.7941,-79.8626,10.12,66,0,3.6,US,1702530121
310,santa elena de uairen,4.6167,-61.1333,22.21,82,100,1.11,VE,1702530122
311,lethem,3.3803,-59.7968,28.18,63,96,5.5,GY,1702530122
312,olinda,-8.0089,-34.8553,26.85,69,20,4.63,BR,1702530070
313,sharm el-sheikh,27.8518,34.305,18.08,63,0,3.6,EG,1702530123
314,santa lucia,27.9117,-15.5407,15.62,64,0,5.14,ES,1702529862
315,frontera,26.9333,-101.45,14.94,91,100,1.34,MX,1702530124
316,arrifes,37.7667,-25.7,13.14,72,40,3.6,PT,1702530124
317,canutama,-6.5339,-64.3831,26.6,78,100,0.59,BR,1702530125
318,gualaceo,-2.9,-78.7833,18.81,91,98,1.2,EC,1702530125
319,toliara,-23.35,43.6667,30.02,54,90,3.08,MG,1702530126
320,ximeicun,24.9639,118.3794,27.98,53,0,1.32,CN,1702530126
321,hadibu,12.65,54.0333,25.49,71,74,4.71,YE,1702530127
322,yelovo,57.0538,54.9207,-14.03,79,100,4.38,RU,1702530127
323,caburan,5.9181,125.6411,32.54,53,53,2.57,PH,1702530127
324,isla mujeres,21.2311,-86.731,22.87,77,88,6.31,MX,1702530010
325,gamboma,-1.8764,15.8644,22.09,94,91,0.55,CG,1702530128
326,choibalsan,48.0667,114.5,-19.85,79,100,3.47,MN,1702530128
327,hisarya,42.5,24.7,-1.05,79,100,0.99,BG,1702530109
328,changyon,38.2508,125.0961,4.64,94,100,3.95,KP,1702530129
329,bairnsdale,-37.8333,147.6167,26.7,51,15,1.79,AU,1702530129
330,obo,5.3998,26.4869,20.09,33,100,2.74,CF,1702530130
331,nyurba,63.2842,118.3319,-22.44,95,100,4.51,RU,1702530130
332,singkil,-7.9855,111.4161,30.07,70,73,2.33,ID,1702530130
333,linxia chengguanzhen,35.6003,103.2064,-2.02,50,83,3.04,CN,1702530131
334,singaraja,-8.112,115.0882,29.15,70,85,2.89,ID,1702530131
335,amga,60.8953,131.9608,-26.94,93,100,2.34,RU,1702530131
336,qamdo,31.1667,97.2333,-3.07,26,39,4.03,CN,1702530131
337,cambria,35.5641,-121.0808,14.79,58,98,1.47,US,1702530014
338,flying fish cove,-10.4217,105.6791,28.82,65,40,4.12,CX,1702529902
339,saint-philippe,-21.3585,55.7679,28.77,76,9,2.88,RE,1702530132
340,roma,43.2128,-75.4557,-1.77,91,13,2.45,US,1702530132
341,bodo,67.28,14.405,-5.68,75,0,11.83,NO,1702530133
342,maceio,-9.6658,-35.7353,22.69,100,20,1.54,BR,1702530014
343,qandala,11.472,49.8728,24.44,71,37,1.34,SO,1702530133
344,pudur,13.0,79.15,25.39,65,6,3.9,IN,1702530134
345,karatau,43.1667,70.4667,-16.84,76,16,4.67,KZ,1702530134
346,new norfolk,-42.7826,147.0587,21.72,81,92,4.77,AU,1702529988
347,soe,-9.8607,124.284,25.91,70,71,2.72,ID,1702530134
348,port alfred,-33.5906,26.891,17.88,92,7,4.02,ZA,1702530135
349,balabac,7.9868,117.0645,29.56,69,53,7.68,PH,1702530135
350,tralee,52.2704,-9.7026,10.55,82,78,8.32,IE,1702530136
351,suva,-18.1416,178.4415,28.71,65,40,3.6,FJ,1702530136
352,formosa do rio preto,-11.0483,-45.1931,25.2,48,72,1.75,BR,1702530136
353,itoman,26.1247,127.6694,26.01,66,40,3.6,JP,1702530136
354,juba,4.8517,31.5825,23.92,27,60,0.66,SS,1702530137
